mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	3/4	1	1	1/8	1/8	1		3	81	A5	5	0
1	1	1/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		0	84	C6	6	1
1	1	1	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	4
1	1	1	1.5	1/4	1/4	3/4	1	1	3/8	1/4	3/2		3	81	A5	5	2
1	1	2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-3	63	Eb4	4	5
1	1	2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67	G4	4	5
1	1	2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	73	Db5	5	5
1	1	5/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	3
2	2	3	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	7
2	2	3	3.0	0	0	3/4	1	1	3/4	1/2	3/2	1	4	76	E5	5	6
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		7	61	C#4	4	8
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	8
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	69	A4	4	8
2	2	5	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55	G3	3	9
3	3	6	3.0	0	0	3/4	2	2	3/4	1/2	3/2		0	48	C3	3	17
3	3	6	0.5	0	0	3/4	1	1	1/8	1/8	1	-1	4	76	E5	5	10
3	3	13/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	11
3	3	7	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		-2	58	Bb3	3	16
3	3	7	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	16
3	3	7	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		3	69	A4	4	14
3	3	7	1.5	1/4	1/4	3/4	1	1	3/8	1/4	3/2		4	76	E5	5	12
3	3	8	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	15
3	3	17/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	13
4	4	9	3.0	0	0	3/4	2	2	3/4	1/2	3/2		-1	41	F2	2	23
4	4	9	1.0	0	0	3/4	1	2	1/4	1/4	1		4	64	E4	4	19
4	4	9	3.0	0	0	3/4	1	1	3/4	1/2	3/2		3	69	A4	4	18
4	4	10	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	48	C3	3	22
4	4	10	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		3	57	A3	3	22
4	4	10	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		2	62	D4	4	20
4	4	11	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		0	60	C4	4	21
5	5	12	1.0	0	0	3/4	2	2	1/4	1/4	1		2	38	D2	2	28
5	5	25/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	24
5	5	13	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	29
5	5	13	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	27
5	5	13	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	27
5	5	13	1.5	1/4	1/4	3/4	1	1	3/8	1/4	3/2		4	76	E5	5	25
5	5	14	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	45	A2	2	30
5	5	29/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	26
6	6	15	1.0	0	0	3/4	2	2	1/4	1/4	1		2	38	D2	2	33
6	6	15	3.0	0	0	3/4	1	1	3/4	1/2	3/2		3	69	A4	4	31
6	6	16	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		6	54	F#3	3	34
6	6	16	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	32
6	6	16	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	32
6	6	17	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	45	A2	2	35
7	7	18	1.0	0	0	3/4	2	2	1/4	1/4	1		2	38	D2	2	42
7	7	37/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	36
7	7	19	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	G3	3	43
7	7	19	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	41
7	7	19	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	41
7	7	19	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		4	76	E5	5	37
7	7	39/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	38
7	7	20	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	45	A2	2	44
7	7	20	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	69	A4	4	39
7	7	41/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		5	83	B5	5	40
8	8	21	1.0	0	0	3/4	2	2	1/4	1/4	1		2	38	D2	2	52
8	8	21	0.5	0	0	3/4	1	1	1/8	1/8	1		1	79	G5	5	45
8	8	43/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	46
8	8	22	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		3	57	A3	3	53
8	8	22	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	51
8	8	22	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	51
8	8	22	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	47
8	8	45/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		5	83	B5	5	48
8	8	23	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	E3	3	54
8	8	23	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	49
8	8	47/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	50
9	9	24	1.0	0	0	3/4	2	2	1/4	1/4	1		2	38	D2	2	59
9	9	49/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	55
9	9	25	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	60
9	9	25	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	58
9	9	25	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	58
9	9	25	1.5	1/4	1/4	3/4	1	1	3/8	1/4	3/2		4	76	E5	5	56
9	9	26	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	45	A2	2	61
9	9	53/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	57
10	10	27	1.0	0	0	3/4	2	2	1/4	1/4	1		2	38	D2	2	64
10	10	27	3.0	0	0	3/4	1	1	3/4	1/2	3/2		3	69	A4	4	62
10	10	28	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		6	54	F#3	3	65
10	10	28	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	63
10	10	28	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	63
10	10	29	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	45	A2	2	66
11	11	30	1.0	0	0	3/4	2	2	1/4	1/4	1		2	38	D2	2	73
11	11	61/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	67
11	11	31	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	G3	3	74
11	11	31	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	72
11	11	31	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	72
11	11	31	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		4	76	E5	5	68
11	11	63/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	72	C5	5	69
11	11	32	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	45	A2	2	75
11	11	32	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	69	A4	4	70
11	11	65/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		5	83	B5	5	71
12	12	33	1.0	0	0	3/4	2	2	1/4	1/4	1		2	38	D2	2	83
12	12	33	0.5	0	0	3/4	1	1	1/8	1/8	1		1	79	G5	5	76
12	12	67/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	77
12	12	34	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		3	57	A3	3	84
12	12	34	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	82
12	12	34	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	82
12	12	34	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		0	72	C5	5	78
12	12	69/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		5	83	B5	5	79
12	12	35	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	E3	3	85
12	12	35	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		1	79	G5	5	80
12	12	71/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		4	76	E5	5	81
13	13	36	3.0	0	0	3/4	2	2	3/4	1/2	3/2		-3	39	Eb2	2	92
13	13	73/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		-1	89	F6	6	86
13	13	37	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		1	55	G3	3	91
13	13	37	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		-5	61	Db4	4	91
13	13	37	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		-1	65	F4	4	91
13	13	37	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		-5	85	Db6	6	87
13	13	75/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	88
13	13	38	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		-1	77	F5	5	89
13	13	77/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		-5	73	Db5	5	90
14	14	39	0.5	0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	93
14	14	79/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		-1	65	F4	4	94
14	14	40	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		-5	61	Db4	4	95
14	14	81/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	55	G3	3	96
14	14	41	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	43	G2	2	100
14	14	41	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		-1	53	F3	3	99
14	14	41	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	59	B3	3	97
14	14	83/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		3	57	A3	3	98
15	15	42	0.5	0	0	3/4	2	1	1/8	1/8	1		-3	39	Eb2	2	101
15	15	85/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		-2	46	Bb2	2	102
15	15	43	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		1	55	G3	3	103
15	15	87/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	104
15	15	44	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		-5	61	Db4	4	105
15	15	89/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	106
16	16	45	0.5	0	0	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	108
16	16	45	0.5	0	0	3/4	1	1	1/8	1/8	1		3	69	A4	4	107
16	16	91/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	109
16	16	46	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		1	67	G4	4	110
16	16	93/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		-2	70	Bb4	4	111
16	16	47	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		-5	73	Db5	5	112
16	16	95/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		-1	77	F5	5	113
17	17	48	0.5	0	0	3/4	2	1	1/8	1/8	1		-3	39	Eb2	2	114
17	17	97/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		-2	46	Bb2	2	115
17	17	49	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		1	55	G3	3	116
17	17	99/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	117
17	17	50	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		-5	61	Db4	4	118
17	17	101/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		-1	65	F4	4	119
18	18	51	0.5	0	0	3/4	2	1	1/8	1/8	1		-3	51	Eb3	3	121
18	18	51	0.5	0	0	3/4	1	1	1/8	1/8	1		3	69	A4	4	120
18	18	103/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	122
18	18	52	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		1	67	G4	4	123
18	18	105/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		-2	70	Bb4	4	124
18	18	53	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		-5	73	Db5	5	125
18	18	107/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		-1	77	F5	5	126
19	19	54	1.0	0	0	3/4	2	1	1/4	1/4	1		-5	61	Db4	4	131
19	19	54	0.5	0	0	3/4	1	1	1/8	1/8	1		3	81	A5	5	127
19	19	109/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		0	84	C6	6	128
19	19	55	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67	G4	4	132
19	19	55	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-2	70	Bb4	4	132
19	19	55	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		-3	75	Eb5	5	132
19	19	55	1.5	1/4	1/4	3/4	1	1	3/8	1/4	3/2		3	81	A5	5	129
